DAY,TC BLOCK,MAYA BLOCK
1,9857265,
2,9871065,
3,9884865,
4,9898665,
5,9912465,
6,9926265,
7,9940065,
8,9953865,
9,9967665,
10,9981465,41539
11,9995965,56039
12,10010465,70539
13,10024965,85039
14,10039465,99539
15,10053965,114039
16,10068465,128539
17,10082965,143039
18,10097465,157539
19,10111965,172039
20,10126465,186539
21,10140965,201039
22,10155465,215539
23,10169965,230039
24,10184465,244539
25,10198965,259039
26,10213465,273539
27,10227965,288039
28,10242465,302539
29,10256965,317039
30,10271465,331539
31,10285965,346039
32,10300465,360539
33,10314965,375039
34,10329465,389539
35,10343965,404039
36,10358465,418539
37,10372965,433039
38,10387465,447539
39,10401965,462039
40,10416465,476539
41,10430965,491039
42,10445465,505539
